feature,n,correlation,slope,intercept,r_squared
ドライブインパクト_受けた回数,226,-0.339654422192274,-0.5512976663700253,0.31784993773457665,0.1153651265147675
パニッシュカウンターを受けた回数,226,-0.3169910301163207,-0.8687998564269956,0.2998512778818835,0.10048331317420613
ドライブインパクト,226,-0.2750167996447591,-0.026712424662204637,0.1923460050875757,0.07563424008684558
相手を追い詰めている時間,226,0.27423095688401533,0.06577078083446089,-0.63521187312999,0.07520261771352267
ドライブインパクト_決めた回数,226,-0.2738436619696486,-0.28006669859709293,0.19133760293535915,0.07499035120094717
パニッシュカウンターを決めた回数,226,-0.2496026664491607,-0.4784105981183355,0.18734220324545445,0.062301491098530976
キャンセルドライブラッシュ,226,0.23319618932120834,0.01466625647397124,-0.3569156813327186,0.05438046271393284
ジャストパリィ回数,226,0.2244681602018166,0.6451270484273387,-0.2643308171874847,0.0503859549443884
ランクマッチプレイ回数,226,0.21633530789986435,9.056213362068672e-06,-0.19572576834634695,0.046800965444129115
相手にドライブインパクトで返された回数,226,-0.19052084366859826,-1.29137856823901,0.13485192128513565,0.036298191872194456
累計プレイポイント,226,0.18681885426032085,2.3674643359381552e-07,-0.18759952596702154,0.034901284307139006
投げ抜け回数,226,0.1860065544956387,0.6514527603039574,-0.28652391316023607,0.03459843831533901
Lv2,226,0.18463447338491037,0.01077747495114775,-0.2495939210035937,0.034089888762123176
カジュアルマッチプレイ回数,226,-0.17610490069118862,-0.00018863993619235624,0.06926925232181981,0.031012936047453404
ダメージ,226,-0.15538188765454913,-0.017106724570791456,0.4692283717602235,0.02414353101109093
パリィドライブラッシュ,226,0.14634310240908424,0.04089864414581982,-0.236681901411475,0.021416303622715717
ドライブリバーサル,226,-0.14138974134114507,-0.05996723278076634,0.09976584005858564,0.019991058956515907
相手のドライブインパクトに決めた回数,226,-0.1403152815475317,-1.0949357560214958,0.12015224225368636,0.01968837823576309
ルームマッチプレイ回数,226,0.13464534822488702,1.8216065934199117e-05,-0.09125144784789065,0.018129369798601087
投げ_受けた回数,226,-0.13249620129627107,-0.22846207566637156,0.5284954564530047,0.017555243357941983
CA,226,-0.12429100118516122,-0.014644741971224872,0.1696450797931284,0.015448252975609747
相手のドライブパリィを投げた,226,0.12145481770355454,0.857473957340641,-0.17870364332187688,0.014751272743403666
自分のドライブパリィを投げられた,226,-0.11760104608626336,-0.8932454246491929,0.16442039674958603,0.013830006040583438
Lv1,226,-0.10333311972640828,-0.005129962792788396,0.17843417928243505,0.010677733632392229
使用回数,226,-0.0901475722206102,-0.33626881367483064,0.06636101367211268,0.008126584777270133
投げ_決めた回数,226,0.08782873309091085,0.08183245882556704,-0.20682610832373396,0.0077138863563544595
相手に追い詰められている時間,226,0.08657104163999402,0.02914913178258089,-0.24440128236642705,0.007494545250633578
バトルハブマッチプレイ回数,226,-0.07666026413915522,-2.016396905516246e-05,0.027859913651583548,0.005876796097885048
成功回数,226,0.04661824167791897,0.05973804668930948,-0.08992426320222595,0.0021732604571408614
スタンさせた回数,226,0.04518130666778591,0.7164626493552471,-0.04691879296662672,0.0020413504722085153
スタンさせられた回数,226,0.03678173414384589,0.6756268523815877,-0.03228659294566871,0.0013528959666285585
オーバードライブアーツ,226,0.023567708651797515,0.0019214076049918493,-0.042376474692023915,0.0005554368910960114
ドライブパリィ,226,0.01109127192847119,0.0022785008738588873,-0.026190460177403195,0.00012301631299129303
Lv3,226,-0.0017131844827921456,-0.00010845889750672856,0.003303326882482999,2.9350010720797917e-06
