No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
区分,データ取得日,プレイヤー名情報,プレイヤー名情報,プレイヤー名情報,プレイヤー名情報,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブリバーサル,ドライブパリィ,ドライブパリィ,ドライブパリィ,ドライブパリィ,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,SAゲージ使用割合,SAゲージ使用割合,SAゲージ使用割合,SAゲージ使用割合,スタン,スタン,投げ,投げ,投げ,壁際,壁際,プレイ回数,プレイ回数,プレイ回数,プレイ回数,プレイポイント
項目,データ取得日,プレイヤー名,リーグポイント,ランク,MR,ドライブパリィ,ドライブインパクト,オーバードライブアーツ,パリィドライブラッシュ,キャンセルドライブラッシュ,ドライブリバーサル,ダメージ,使用回数,成功回数,相手のドライブパリィを投げた,自分のドライブパリィを投げられた,ジャストパリィ回数,決めた回数,パニッシュカウンターを決めた回数,相手のドライブインパクトに決めた回数,受けた回数,パニッシュカウンターを受けた回数,相手にドライブインパクトで返された回数,Lv1,Lv2,Lv3,CA,スタンさせた回数,スタンさせられた回数,決めた回数,受けた回数,投げ抜け回数,相手を追い詰めている時間,相手に追い詰められている時間,ランクマッチプレイ回数,カジュアルマッチプレイ回数,ルームマッチプレイ回数,バトルハブマッチプレイ回数,累計プレイポイント
単位,日付,テキスト,数値,テキスト,数値,割合,割合,割合,割合,割合,割合,割合,回,回,回,回,回,回,回,回,回,回,回,割合,割合,割合,割合,回,回,回,回,回,秒,秒,回,回,回,回,数値
1,2026/3/14,dayixiejiao,11539,GOLD3,0,9.01%,6.25%,39.58%,3.77%,5.87%,0.50%,35.00%,0.1,1.6,0.1,0.2,0.2,0.7,0.4,0.2,0.9,0.5,0.1,23.68%,38.15%,30.26%,7.89%,0,0,2,2.6,0.4,4.3,15.3,2433,7,702,465,115421
2,2026/3/14,やきうどん,12836,GOLD5,0,9.44%,3.73%,52.19%,2.13%,9.21%,0.77%,22.48%,0.1,2,0.2,0.4,0.2,0.3,0.2,0,0.7,0.3,0,1.75%,0.00%,50.87%,47.36%,0,0.1,5,2.6,0.5,7.2,6.6,2181,4,0,0,66776
3,2026/3/14,takepi,888668,MASTER,2325,10.34%,3.21%,41.05%,4.00%,20.21%,1.50%,19.65%,0.2,2.5,0.4,0.1,0.6,0.5,0.2,0,0.1,0.1,0,20.47%,61.41%,15.74%,2.36%,0.2,0,1.3,1.7,0.6,10.1,9.2,11881,0,1286,14,377978
4,2026/3/14,hinao,818303,ULTIMATE,2304,12.12%,1.68%,19.93%,5.99%,40.80%,0.71%,18.74%,0.1,1.9,0.2,0.2,0.6,0.2,0.1,0,0.1,0.1,0,39.82%,21.23%,29.20%,9.73%,0.1,0.1,2.5,1.8,0.3,13.2,8.6,26443,0,4794,2,861782
5,2026/3/14,KyuRo,20602,DIAMOND2,0,14.78%,2.78%,13.60%,9.96%,31.85%,0.00%,27.00%,0,1.1,0.1,0,0.2,0.1,0.1,0,0.6,0.4,0.1,36.06%,18.03%,34.42%,11.47%,0,0.1,3.1,2.9,0.3,7.7,8.3,5544,372,6,102,285358
6,2026/3/14,SBI_Hibiki,815205,MASTER,2243,12.66%,1.09%,26.33%,4.01%,27.92%,0.60%,27.35%,0.1,2.8,0.3,0.3,1.3,0.2,0.1,0,0.2,0.1,0,65.32%,23.38%,8.87%,2.41%,0.1,0.1,2.3,2.8,0.8,10.3,10.9,24893,0,9489,533,882603
7,2026/3/14,カメルーン,1144704,MASTER,1500,5.11%,2.12%,13.60%,2.24%,51.88%,1.46%,23.57%,0.2,0.9,0.1,0.2,0.2,0.2,0.1,0,0.2,0.1,0.1,33.63%,14.54%,43.63%,8.18%,0.1,0.1,2.7,2.4,0.3,11.6,13.4,65398,1,10180,53,2064742
8,2026/3/14,その他,25510,MASTER,1407,14.32%,3.08%,36.27%,6.05%,3.00%,10.11%,27.12%,1.3,2.7,0.1,0.3,0.3,0.3,0.2,0.1,0.8,0.5,0,22.35%,25.88%,36.47%,15.29%,0.2,0.1,1.6,2.8,0.6,8.6,11.5,7547,0,31,0,232525
9,2026/3/14,腕太BOT♡,"22,599",DIAMOND3,0,11.94%,2.06%,6.49%,7.68%,47.22%,0.00%,24.58%,0,1,0.2,0.1,0.1,0.2,0.1,0.1,0.5,0.2,0.1,41.46%,13.41%,34.14%,10.97%,0.1,0,2.8,1.4,0.4,8,8.3,789,7,206,110,30759
